농식품부,1786,3545,2953,NNP,*,F,농식품부,*,*,*,*,*
기획재정부,1786,3545,2953,NNP,*,F,기획재정부,*,*,*,*,*
과학기술정보통신부,1786,3545,2953,NNP,*,F,과학기술정보통신부,*,*,*,*,*
산업통상자원부,1786,3545,2953,NNP,*,F,산업통상자원부,*,*,*,*,*
고용노동부,1786,3545,2953,NNP,*,F,고용노동부,*,*,*,*,*
여성가족부,1786,3545,2953,NNP,*,F,여성가족부,*,*,*,*,*
국토교통부,1786,3545,2953,NNP,*,F,국토교통부,*,*,*,*,*
해양수산부,1786,3545,2953,NNP,*,F,해양수산부,*,*,*,*,*
중소벤처기업부,1786,3545,2953,NNP,*,F,중소벤처기업부,*,*,*,*,*
방위사업청,1786,3546,2953,NNP,*,T,방위사업청,*,*,*,*,*
방사청,1786,3546,2953,NNP,*,T,방사청,*,*,*,*,*
농촌진흥청,1786,3546,2953,NNP,*,T,농촌진흥청,*,*,*,*,*
질병관리청,1786,3546,2953,NNP,*,T,질병관리청,*,*,*,*,*
질병청,1786,3546,2953,NNP,*,T,질병청,*,*,*,*,*
새만금개발청,1786,3546,2953,NNP,*,T,새만금개발청,*,*,*,*,*
새만금청,1786,3546,2953,NNP,*,T,새만금청,*,*,*,*,*
해양경찰청,1786,3546,2953,NNP,*,T,해양경찰청,*,*,*,*,*
국가보훈처,1786,3545,2953,NNP,*,F,국가보훈처,*,*,*,*,*
보훈처,1786,3545,2953,NNP,*,F,보훈처,*,*,*,*,*
인사혁신처,1786,3545,2953,NNP,*,F,인사혁신처,*,*,*,*,*
식품의약품안전처,1786,3545,2953,NNP,*,F,식품의약품안전처,*,*,*,*,*
식약처,1786,3545,2953,NNP,*,F,식약처,*,*,*,*,*
공정거래위원회,1786,3545,2953,NNP,*,F,공정거래위원회,*,*,*,*,*
금융위원회,1786,3545,2953,NNP,*,F,금융위원회,*,*,*,*,*
금융위,1786,3545,2953,NNP,*,F,금융위,*,*,*,*,*
국민권익위원회,1786,3545,2953,NNP,*,F,국민권익위원회,*,*,*,*,*
권익위원회,1786,3545,2953,NNP,*,F,권익위원회,*,*,*,*,*
권익위,1786,3545,2953,NNP,*,F,권익위,*,*,*,*,*
